,compound_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,target_name,organism,assay_description,assay_type,Ki [nM]
35,CHEMBL269004,CCCN(CCC)[C@H]1CCc2c(O)cccc2C1,Ki,=,6.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity was evaluated by calculating competition for [3H]spiperone binding on Dopamine receptor D2L of CHO K-1 cells.,B,6.0
36,CHEMBL269004,CCCN(CCC)[C@H]1CCc2c(O)cccc2C1,Ki,=,14.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity was evaluated by calculating competition for [3H]N-0437 binding on Dopamine receptor D2L of CHO K-1 cells,B,14.0
38,CHEMBL269004,CCCN(CCC)[C@H]1CCc2c(O)cccc2C1,EC50,=,41.0,nM,Dopamine D2 receptor,Homo sapiens,Agonist activity at human cloned dopamine D2 receptor expressed in CHO cells by [35S]GTP gammaS binding assay,F,20.5
39,CHEMBL269004,CCCN(CCC)[C@H]1CCc2c(O)cccc2C1,Ki,=,7.1,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human D2S receptor expressed in CHO cells,B,7.1
88,CHEMBL26,CCN1CCCC1CNC(=O)c2cc(ccc2OC)S(=O)(=O)N,Ki,=,68.0,nM,Dopamine D2 receptor,Homo sapiens,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),B,68.0
91,CHEMBL26,CCN1CCCC1CNC(=O)c2cc(ccc2OC)S(=O)(=O)N,Ki,=,7.6,nM,Dopamine D2 receptor,Homo sapiens,Antagonist activity at dopamine D2 receptor (unknown origin),B,7.6
92,CHEMBL26,CCN1CCCC1CNC(=O)c2cc(ccc2OC)S(=O)(=O)N,Kb,=,3.0,nM,Dopamine D2 receptor,Homo sapiens,Antagonist activity at D2 long receptor (unknown origin) expressed in CHOK1 cells assessed as inhibition of dopamine induced beta-arrestin recruitment after 90 mins by DiscoveRx PathHunter assay,B,3.0
93,CHEMBL26,CCN1CCCC1CNC(=O)c2cc(ccc2OC)S(=O)(=O)N,Kd,=,2.818,nM,Dopamine D2 receptor,Homo sapiens,Competitive antagonist activity at D2 long receptor (unknown origin) expressed in CHOK1 cells assessed as inhibition of dopamine induced beta-arrestin recruitment after 90 mins by DiscoveRx PathHunter assay,B,2.818
132,CHEMBL268799,Clc1ccc(cc1)N2CCN(Cc3c[nH]c4ccccc34)CC2,Ki,=,71.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards cloned human Dopamine receptor D2 stably expressed in CHO cells was evaluated using [3H]spiperone as radioligand,B,71.0
133,CHEMBL442,CN1C[C@@H](C=C2[C@H]1Cc3c[nH]c4cccc2c34)C(=O)N[C@]5(C)O[C@@]6(O)[C@@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C5=O,IC50,=,4.3,nM,Dopamine D2 receptor,Homo sapiens,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),B,2.15
