,compound_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,target_name,organism,assay_description,assay_type,Ki [nM]
20,CHEMBL6437,CN1CCN2C(C1)c3ccccc3Cc4ccccc24,IC50,=,7079.46,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human cloned Dopamine receptor D2L,B,3539.73
21,CHEMBL6437,CN1CCN2C(C1)c3ccccc3Cc4ccccc24,IC50,=,7079.46,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human cloned Dopamine receptor D2L,B,3539.73
22,CHEMBL6437,CN1CCN2C(C1)c3ccccc3Cc4ccccc24,Ki,=,2197.0,nM,Dopamine D2 receptor,Homo sapiens,Inhibition of [3H]-spiperone binding to human Dopamine receptor D2,B,2197.0
44,CHEMBL411,CC\C(=C(\CC)/c1ccc(O)cc1)\c2ccc(O)cc2,IC50,=,13321.0,nM,Dopamine D2 receptor,Homo sapiens,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),B,6660.5
45,CHEMBL411,CC\C(=C(\CC)/c1ccc(O)cc1)\c2ccc(O)cc2,Ki,=,4440.0,nM,Dopamine D2 receptor,Homo sapiens,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),B,4440.0
98,CHEMBL27,CC(C)NCC(O)COc1cccc2ccccc12,IC50,>,5011.87,nM,Dopamine D2 receptor,Homo sapiens,Antagonist activity at human wild-type D2 receptor expressed in CHO-K1 cells assessed as dopamine-induced cAMP by HTRF assay,B,2505.935
99,CHEMBL27,CC(C)NCC(O)COc1cccc2ccccc12,EC50,>,5011.87,nM,Dopamine D2 receptor,Homo sapiens,Agonist activity at human wild-type D2 receptor expressed in CHO-K1 cells assessed as cAMP level by HTRF assay,B,2505.935
116,CHEMBL434,CC(C)NCC(O)c1ccc(O)c(O)c1,Ki,=,48000.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human D2L receptor expressed in CHO cells,B,48000.0
117,CHEMBL434,CC(C)NCC(O)c1ccc(O)c(O)c1,Ki,=,12000.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human D2S receptor expressed in CHO cells,B,12000.0
158,CHEMBL267014,Clc1ccc(cc1)N2CCN(Cc3c[nH]c4ncccc34)CC2,Ki,=,54000.0,nM,Dopamine D2 receptor,Homo sapiens,In vitro binding affinity at human cloned dopamine receptor D2 (long) stably expressed in CHO cells by [3H]-Spiperone displacement.,B,54000.0
159,CHEMBL267014,Clc1ccc(cc1)N2CCN(Cc3c[nH]c4ncccc34)CC2,Ki,=,38000.0,nM,Dopamine D2 receptor,Homo sapiens,In vitro binding affinity at human cloned dopamine receptor D2 (short) stably expressed in CHO cells by [3H]spiperone displacement.,B,38000.0
160,CHEMBL267014,Clc1ccc(cc1)N2CCN(Cc3c[nH]c4ncccc34)CC2,Ki,=,53703.18,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity to dopamine D2,B,53703.18
162,CHEMBL267014,Clc1ccc(cc1)N2CCN(Cc3c[nH]c4ncccc34)CC2,Ki,=,54000.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]SCH23390 from human cloned dopamine D2 long receptor expressed in CHO cells,B,54000.0
163,CHEMBL267014,Clc1ccc(cc1)N2CCN(Cc3c[nH]c4ncccc34)CC2,Ki,=,38000.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiroperidol from human cloned dopamine D2 short receptor expressed in CHO cells,B,38000.0
